"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm"
"abdelju8720152016","Justin.Abdelkader","RL","DET",87,20152016,28,"2.250","1.800",20,23,43,0.75,0.87,1.62,-6,53.24,99.39,12.2,12.6,18.33
"abergpo9320152016","Pontus.Aberg","LR","NSH",2,20152016,21,"0.807","0.781",0,0,0,0,0,0,0,30,100,NA,14.84,6.26
"agostke9220152016","Kenny.Agostino","L","CGY",2,20152016,23,"0.830","0.830",0,0,0,0,0,0,0,58.7,84.62,0,-5.21,13.21
"agozzan9120152016","Andrew.Agozzino","LC","COL",9,20152016,24,"0.600","0.600",0,2,2,0,1.53,1.53,1,45.26,100.69,0,-1.13,8.7
"alzneka8820152016","Karl.Alzner","D","WSH",94,20152016,26,"2.800","2.800",4,19,23,0.12,0.58,0.7,-10,43.35,101.48,4.49,-26.8,21.06
"anderjo8920152016","Joakim.Andersson","C","DET",34,20152016,26,"0.815","0.815",1,3,4,0.21,0.64,0.85,-1,41.13,96.85,4.76,-16.81,8.33
"anderjo9420152016","Josh.Anderson","RL","CBJ",12,20152016,21,"0.693","0.709",1,3,4,0.47,1.41,1.89,0,43.5,100.79,9.09,-7.48,10.61
"andrean9120152016","Andy.Andreoff","CL","L.A",61,20152016,24,"0.575","0.588",8,2,10,0.89,0.22,1.11,0,50.81,101.07,16.67,5.6,8.84
"andrisv9320152016","Sven.Andrighetto","RL","MTL",44,20152016,22,"0.650","0.633",7,10,17,0.69,0.98,1.66,6,55.39,100.32,9.46,22.88,13.93
"angelmi8520152016","Mike.Angelidis","L","T.B",4,20152016,30,"0.650","0.650",1,0,1,1.66,0,1.66,0,51.92,116.67,100,-9.29,9.02
"anisiar8820152016","Artem.Anisimov","C","CHI",84,20152016,27,"4.000","3.283",23,22,45,0.91,0.87,1.78,4,50.95,103.39,17.04,16.12,18.03
"archijo9220152016","Josh.Archibald","RL","PIT",1,20152016,22,"0.667","0.659",0,0,0,0,0,0,0,12.5,NA,NA,-6.41,5.61
"arcobma8820152016","Mark.Arcobello","CR","TOR",20,20152016,27,"1.100","1.100",3,1,4,0.7,0.23,0.93,3,63.9,98.42,6.98,23.47,12.86
"armiajo9320152016","Joel.Armia","R","WPG",43,20152016,22,"0.833","0.902",4,6,10,0.45,0.67,1.12,1,51.19,98,7.69,0.3,12.41
"arvidvi9320152016","Viktor.Arvidsson","LR","NSH",70,20152016,22,"0.640","0.632",9,9,18,0.61,0.61,1.21,-3,54.23,95.77,5.52,3,12.7
"athanan9420152016","Andreas.Athanasiou","L","DET",42,20152016,21,"0.667","0.659",10,5,15,1.57,0.79,2.36,18,49.42,101.3,15.87,6.78,9.1
"atkinca8920152016","Cam.Atkinson","R","CBJ",81,20152016,26,"2.500","3.500",27,26,53,1.13,1.09,2.21,8,51.34,98.07,11.95,1.13,17.73
"backeda8420152016","David.Backes","RC","STL",93,20152016,31,"4.750","4.500",27,30,57,0.9,1,1.9,-24,50.81,102.81,14.29,-10.6,19.33
"backlmi8920152016","Mikael.Backlund","C","CGY",82,20152016,26,"3.575","3.575",21,26,47,0.94,1.16,2.1,-6,51.29,98.89,13.55,-7.36,16.41
"backsni8720152016","Nicklas.Backstrom","C","WSH",87,20152016,27,"6.500","6.700",22,59,81,0.78,2.08,2.86,-5,57.3,104.17,14.38,10.28,19.53
"baertsv9220152016","Sven.Baertschi","LR","VAN",69,20152016,22,"0.900","0.900",15,13,28,0.96,0.83,1.8,9,50.42,99.21,13.89,7.16,13.54
"bailejo8920152016","Josh.Bailey","RL","NYI",90,20152016,25,"3.500","3.300",14,21,35,0.6,0.89,1.49,-2,49.58,99.64,11.48,-0.02,15.69
"baileju9520152016","Justin.Bailey","C","BUF",8,20152016,20,"0.667","0.670",0,0,0,0,0,0,0,48.02,91.81,0,9.41,12.01
"barbema9020152016","Mark.Barberio","D","MTL",30,20152016,25,"0.600","0.600",2,8,10,0.27,1.06,1.33,-1,54.04,98.47,6.25,6.13,15.06
"barkoal9520152016","Aleksander.Barkov","C","FLA",72,20152016,20,"0.925","0.925",30,32,62,1.27,1.36,2.63,13,51.16,101.75,15.15,4.55,19.67
"barrity9120152016","Tyson.Barrie","D","COL",78,20152016,24,"3.200","2.600",13,36,49,0.43,1.2,1.63,5,50.55,100.7,7.56,16.08,23.08
"bartkma8820152016","Matt.Bartkowski","D","VAN",80,20152016,27,"1.750","1.750",6,12,18,0.24,0.48,0.72,-17,43.83,99.27,7.06,1.81,18.66
"bartlvi8820152016","Victor.Bartley","D","MTL/NSH",10,20152016,27,"0.800","0.667",0,0,0,0,0,0,-3,45.93,104.46,0,-1.28,13.4
"bassxco8720152016","Cody.Bass","R","NSH",23,20152016,28,"0.575","0.575",0,0,0,0,0,0,3,38.8,95.93,0,-54.63,7.29
"baunxky9220152016","Kyle.Baun","F","CHI",2,20152016,23,"0.792","0.859",0,0,0,0,0,0,0,40.62,85.71,0,33.13,9.82
"beaglja8520152016","Jay.Beagle","RC","WSH",69,20152016,29,"1.750","1.750",11,9,20,0.69,0.57,1.26,-1,42.59,100.1,12.36,-27.68,13.84
"beaucfr8020152016","Francois.Beauchemin","D","COL",82,20152016,35,"4.500","4.500",8,26,34,0.23,0.76,1,-11,41.62,99.61,6.3,-15.85,24.99
"beaulna9220152016","Nathan.Beaulieu","D","MTL",64,20152016,22,"1.000","1.000",2,17,19,0.11,0.91,1.01,-5,52.19,98.42,2.7,2.08,17.56
"beckxta9120152016","Taylor.Beck","RL","NYI",2,20152016,24,"0.875","0.875",0,0,0,0,0,0,0,38.46,100,NA,12.24,8.53
"belesma8820152016","Matt.Beleskey","L","BOS",80,20152016,27,"4.000","3.800",16,22,38,0.76,1.05,1.81,-5,53.45,101.23,9.47,10.28,15.77
"bellepi8520152016","Pierre-Edouard.Bellemare","CL","PHI",79,20152016,30,"0.700","0.713",7,8,15,0.39,0.45,0.84,-1,39.15,96.49,6.67,-18.69,13.64
"bennebe9120152016","Beau.Bennett","LR","PIT",33,20152016,23,"0.800","0.800",6,6,12,0.9,0.9,1.8,-4,55.2,101.01,11.54,6.83,12.15
"bennesa9620152016","Sam.Bennett","C","CGY",77,20152016,19,"0.925","0.925",18,18,36,0.93,0.93,1.87,13,53.58,98.97,13.24,12.73,15.03
"bennxja8920152016","Jamie.Benn","L","DAL",95,20152016,26,"5.750","5.250",46,58,104,1.41,1.78,3.2,4,56.33,101.39,16.49,15.86,20.55
"bennxjo8720152016","Jordie.Benn","D","DAL",65,20152016,28,"0.850","0.700",3,9,12,0.18,0.53,0.71,-4,44.74,100.55,5.17,-1.65,15.57
